# u_lambda  v_lambda  Re(V)[Jy]  Im(V)[Jy]  weight
-2.776962818967465864e+04 3.752877159510986530e+03 1.773692488262380157e-02 -3.153847263194805672e-04 6.530209570312500000e+04
8.731527983923204772e+01 -4.743695878689766687e+03 1.992298697955965925e-02 1.901927271913146492e-04 6.361694140625000000e+04
-2.081732114612398072e+04 -2.725537247636989196e+04 1.525919917926980666e-02 7.173594831476700793e-04 6.336881445312500000e+04
5.183607436057600353e+03 -2.714940562935897469e+04 1.589992673080960206e-02 8.971362520080038584e-04 6.533182617187500000e+04
-7.886490466364660278e+03 -3.539948062053835747e+04 1.476258693786982115e-02 1.006663981709779963e-03 6.950850781250000000e+04
-6.079320688462918042e+04 -5.476223563726391149e+04 1.333962214506073315e-02 1.168658988727425390e-03 6.432704687500000000e+04
-1.669132713101797344e+04 -2.079452014415136364e+04 1.628026242686838113e-02 5.788864785728184458e-04 5.880215625000000000e+04
-3.607998979645162035e+04 -1.748312091060713647e+04 1.547189710868020901e-02 3.364573005461861583e-04 6.435512304687500000e+04
-5.837155430801870352e+03 2.204650090632157116e+03 2.000793078101766043e-02 -1.315882700204397654e-04 6.488292968750000000e+04
-4.198535826254865242e+04 -1.273129791974915861e+04 1.545359605046705762e-02 1.550428693348103394e-04 5.755548437500000000e+04
-2.453563177238961089e+03 -3.013607025210560823e+04 1.541429809102097884e-02 9.187679565743503505e-04 6.651252734375000000e+04
-2.928587039240559534e+04 -4.342248143044980679e+03 1.728812008555298194e-02 -3.636989749626722273e-05 6.109073242187500000e+04
-2.546324358207485784e+04 -3.599202187923723977e+04 1.438263468367157599e-02 9.041846203528840133e-04 6.490997656250000000e+04
-1.088412480512037655e+04 -2.145338573557777272e+04 1.646359208506041269e-02 6.425384764473816629e-04 6.753044140625000000e+04
-1.546080478924557065e+04 -5.172369913412079768e+03 1.884264640754934605e-02 8.790927428831661616e-05 5.753581250000000000e+04
2.181437370101170472e+03 -1.521836390534647398e+04 1.808652219845028122e-02 5.667831157226481094e-04 6.303796484375000000e+04
-2.310652738753272570e+04 -4.265026002747245911e+03 1.803952874335544923e-02 4.116500818554142716e-07 6.116292578125000000e+04
-3.913602211214529962e+04 -6.124547106433552699e+02 1.637665188703825436e-02 -2.165262813547974585e-04 6.548101757812500000e+04
-1.196582136887852357e+04 2.134435224489798202e+04 1.680019825091942642e-02 -7.939910890698780683e-04 6.234296875000000000e+04
-3.448273379428836051e+04 -3.169537555209365109e+03 1.676854171741644708e-02 -1.068911891187382379e-04 6.491920898437500000e+04
-6.474022442030279490e+04 2.379016406214332164e+04 1.427039484190957205e-02 -1.023732351197858409e-03 6.028717382812500000e+04
-1.424254100850431996e+03 -1.957817509235024409e+04 1.713713603640259348e-02 6.642212931882435353e-04 6.185697851562500000e+04
-2.307654794812096952e+04 -9.966732459295186345e+03 1.740082971634563519e-02 1.995810465048697782e-04 6.096435742187500000e+04
